matrix rows=2934 account=vs8888 unit=2 est_min_cost=5868
lotteries=33 templates covered
  hash_ffc_1m: 171 plays
  bnb_syxw_5m: 26 plays
  tron_k3_3m: 9 plays
  bnb_k3_5m: 9 plays
  tron_lhc_5m: 115 plays
  hash_ffc_3m: 171 plays
  bnb_ffc_5m: 171 plays
  hash_jisu: 171 plays
  bnb_pk10_jisu: 32 plays
  bnb_ffc_1m: 171 plays
  tron_lhc_3m: 115 plays
  tron_syxw: 26 plays
  tron_syxw_5m: 26 plays
  tron_k3_jisu: 9 plays
  tron_k3_5m: 9 plays
  tron_ffc_3s: 131 plays
  tron_ffc_5m: 171 plays
  hash_ffc_5m: 171 plays
  tron_lhc_1m: 115 plays
  bnb_pk10_5m: 32 plays
  bnb_ffc_3m: 171 plays
  tron_k3_1m: 9 plays
  tron_ffc_6s: 131 plays
  tron_ffc_15s: 131 plays
  tron_ffc_1m: 171 plays
  tron_ffc_3m: 171 plays
  bnb_syxw_3m: 26 plays
  tron_pk10_jisu: 32 plays
  bnb_k3_3m: 9 plays
  tron_jisu: 171 plays
  tron_syxw_3m: 26 plays
  bnb_syxw: 26 plays
  bnb_k3_1m: 9 plays
