template_code,type_id,sub_id,label,outbound_play_code,bet_mode,sort_order
ssc_std,dingwei,dingwei_wan,一星定位胆 · 万位,ssc_std:dingwei:dingwei_wan,dingwei,1
ssc_std,dingwei,dingwei_qian,一星定位胆 · 千位,ssc_std:dingwei:dingwei_qian,dingwei,2
ssc_std,dingwei,dingwei_bai,一星定位胆 · 百位,ssc_std:dingwei:dingwei_bai,dingwei,3
ssc_std,dingwei,dingwei_shi,一星定位胆 · 十位,ssc_std:dingwei:dingwei_shi,dingwei,4
ssc_std,dingwei,dingwei_ge,一星定位胆 · 个位,ssc_std:dingwei:dingwei_ge,dingwei,5
ssc_std,qian3,qian3_zhixuan_fs,前三直选复式,ssc_std:qian3:qian3_zhixuan_fs,fushi,1
ssc_std,qian3,qian3_zhixuan_ds,前三直选单式,ssc_std:qian3:qian3_zhixuan_ds,danshi,2
ssc_std,qian3,qian3_zhixuan_hz,前三直选和值,ssc_std:qian3:qian3_zhixuan_hz,hezhi,3
ssc_std,qian3,qian3_zhixuan_kd,前三直选跨度,ssc_std:qian3:qian3_zhixuan_kd,kuadu,4
ssc_std,qian3,qian3_zuhe,前三组合,ssc_std:qian3:qian3_zuhe,zuhe,5
ssc_std,qian3,qian3_zu3,前三组三,ssc_std:qian3:qian3_zu3,zu3,6
ssc_std,qian3,qian3_zu6,前三组六,ssc_std:qian3:qian3_zu6,zu6,7
ssc_std,qian3,qian3_zuxuan_hz,前三组选和值,ssc_std:qian3:qian3_zuxuan_hz,hezhi,8
ssc_std,qian3,qian3_zuxuan_bd,前三组选包胆,ssc_std:qian3:qian3_zuxuan_bd,baodan,9
ssc_std,qian3,qian3_hunhe_zx,前三混合组选,ssc_std:qian3:qian3_hunhe_zx,hunhe,10
ssc_std,qian3,qian3_hz_weishu,前三和值尾数,ssc_std:qian3:qian3_hz_weishu,weishu,11
ssc_std,qian3,qian3_teshu,前三特殊号,ssc_std:qian3:qian3_teshu,teshu,12
ssc_std,zhong3,zhong3_zhixuan_fs,中三直选复式,ssc_std:zhong3:zhong3_zhixuan_fs,fushi,1
ssc_std,zhong3,zhong3_zhixuan_ds,中三直选单式,ssc_std:zhong3:zhong3_zhixuan_ds,danshi,2
ssc_std,zhong3,zhong3_zhixuan_hz,中三直选和值,ssc_std:zhong3:zhong3_zhixuan_hz,hezhi,3
ssc_std,zhong3,zhong3_zhixuan_kd,中三直选跨度,ssc_std:zhong3:zhong3_zhixuan_kd,kuadu,4
ssc_std,zhong3,zhong3_zuhe,中三组合,ssc_std:zhong3:zhong3_zuhe,zuhe,5
ssc_std,zhong3,zhong3_zu3,中三组三,ssc_std:zhong3:zhong3_zu3,zu3,6
ssc_std,zhong3,zhong3_zu6,中三组六,ssc_std:zhong3:zhong3_zu6,zu6,7
ssc_std,zhong3,zhong3_zuxuan_hz,中三组选和值,ssc_std:zhong3:zhong3_zuxuan_hz,hezhi,8
